game_id,pair_id,pair_index,game_index,agent_a,agent_b,agent0,agent1,status,error,winner,winner_name,turns,max_turns_reached,disqualified_player,remaining_walls_0,remaining_walls_1,initial_path_0,initial_path_1,final_path_0,final_path_1,final_path_delta_0,final_path_delta_1,final_diversity_0,final_diversity_1,min_diversity_0,min_diversity_1,move_actions_0,move_actions_1,wall_actions_0,wall_actions_1,trap_events_0,trap_events_1
target-0000-0000,path_lure__vs__greedy_bfs,0,0,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0001,path_lure__vs__greedy_bfs,0,1,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0003,path_lure__vs__greedy_bfs,0,3,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0002,path_lure__vs__greedy_bfs,0,2,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0004,path_lure__vs__greedy_bfs,0,4,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0005,path_lure__vs__greedy_bfs,0,5,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0008,path_lure__vs__greedy_bfs,0,8,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0009,path_lure__vs__greedy_bfs,0,9,path_lure,greedy_bfs,greedy_bfs,path_lure,ok,,1,path_lure,14,False,,10,10,8,8,1,0,-7,-8,1,0,1,0,7,7,0,0,0,0
target-0000-0010,path_lure__vs__greedy_bfs,0,10,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
target-0000-0012,path_lure__vs__greedy_bfs,0,12,path_lure,greedy_bfs,path_lure,greedy_bfs,ok,,1,greedy_bfs,8,False,0,9,10,8,8,5,5,-3,-3,1,1,1,1,3,4,1,0,0,0
